매장_id,품목_id,기간,창고_입고량
ST_102,IT_165,2023.12.4,0
ST_102,IT_165,2023.12.5,0
ST_102,IT_167,2023.12.1,0
ST_102,IT_167,2023.12.2,0
ST_102,IT_167,2023.12.3,0
ST_102,IT_167,2023.12.4,0
ST_102,IT_167,2023.12.5,0
ST_102,IT_168,2023.12.1,0
ST_102,IT_168,2023.12.2,0
ST_102,IT_168,2023.12.3,0
ST_102,IT_168,2023.12.4,0
ST_102,IT_168,2023.12.5,0
ST_102,IT_169,2023.12.1,0
ST_102,IT_169,2023.12.2,0
ST_102,IT_169,2023.12.3,0
ST_102,IT_169,2023.12.4,0
ST_102,IT_169,2023.12.5,0
ST_102,IT_170,2023.12.1,0
ST_102,IT_170,2023.12.2,0
ST_102,IT_170,2023.12.3,0
ST_102,IT_170,2023.12.4,0
ST_102,IT_170,2023.12.5,0
ST_102,IT_171,2023.12.1,0
ST_102,IT_171,2023.12.2,0
ST_102,IT_171,2023.12.3,0
ST_102,IT_171,2023.12.4,0
ST_102,IT_171,2023.12.5,0
ST_102,IT_101,2024.01.1,0
ST_102,IT_101,2024.01.2,0
ST_102,IT_101,2024.01.3,0
ST_102,IT_101,2024.01.4,0
ST_102,IT_101,2024.01.5,0
ST_102,IT_102,2024.01.1,7000
ST_102,IT_102,2024.01.2,0
ST_102,IT_102,2024.01.3,0
ST_102,IT_102,2024.01.4,0
ST_102,IT_102,2024.01.5,0
ST_102,IT_103,2024.01.1,7000
ST_102,IT_103,2024.01.2,0
ST_102,IT_103,2024.01.3,0
ST_102,IT_103,2024.01.4,0
ST_102,IT_103,2024.01.5,0
ST_102,IT_104,2024.01.1,0
ST_102,IT_104,2024.01.2,0
ST_102,IT_104,2024.01.3,0
ST_102,IT_104,2024.01.4,0
ST_102,IT_104,2024.01.5,0
ST_102,IT_105,2024.01.1,7000
ST_102,IT_105,2024.01.2,0
ST_102,IT_105,2024.01.3,0
ST_102,IT_105,2024.01.4,0
ST_102,IT_105,2024.01.5,0
