매장_id,품목_id,기간,매장_발주량
ST_103,IT_132,2023.12.5,0
ST_103,IT_133,2023.12.1,0
ST_103,IT_133,2023.12.2,2
ST_103,IT_133,2023.12.3,3
ST_103,IT_133,2023.12.4,0
ST_103,IT_133,2023.12.5,0
ST_103,IT_134,2023.12.1,1
ST_103,IT_134,2023.12.2,2
ST_103,IT_134,2023.12.3,0
ST_103,IT_134,2023.12.4,0
ST_103,IT_134,2023.12.5,0
ST_103,IT_137,2023.12.1,0
ST_103,IT_137,2023.12.2,0
ST_103,IT_137,2023.12.3,0
ST_103,IT_137,2023.12.4,0
ST_103,IT_137,2023.12.5,0
ST_103,IT_138,2023.12.1,0
ST_103,IT_138,2023.12.2,0
ST_103,IT_138,2023.12.3,0
ST_103,IT_138,2023.12.4,0
ST_103,IT_138,2023.12.5,0
ST_103,IT_139,2023.12.1,0
ST_103,IT_139,2023.12.2,0
ST_103,IT_139,2023.12.3,0
ST_103,IT_139,2023.12.4,0
ST_103,IT_139,2023.12.5,0
ST_103,IT_140,2023.12.1,0
ST_103,IT_140,2023.12.2,0
ST_103,IT_140,2023.12.3,1
ST_103,IT_140,2023.12.4,0
ST_103,IT_140,2023.12.5,0
ST_103,IT_141,2023.12.1,2
ST_103,IT_141,2023.12.2,2
ST_103,IT_141,2023.12.3,1
ST_103,IT_141,2023.12.4,0
ST_103,IT_141,2023.12.5,0
ST_103,IT_142,2023.12.1,0
ST_103,IT_142,2023.12.2,0
ST_103,IT_142,2023.12.3,0
ST_103,IT_142,2023.12.4,0
ST_103,IT_142,2023.12.5,0
ST_103,IT_143,2023.12.1,0
ST_103,IT_143,2023.12.2,0
ST_103,IT_143,2023.12.3,0
ST_103,IT_143,2023.12.4,0
ST_103,IT_143,2023.12.5,0
ST_103,IT_144,2023.12.1,0
ST_103,IT_144,2023.12.2,0
ST_103,IT_144,2023.12.3,0
ST_103,IT_144,2023.12.4,0
ST_103,IT_144,2023.12.5,0
ST_103,IT_145,2023.12.1,0
ST_103,IT_145,2023.12.2,0
ST_103,IT_145,2023.12.3,1
ST_103,IT_145,2023.12.4,0
ST_103,IT_145,2023.12.5,0
ST_103,IT_146,2023.12.1,0
ST_103,IT_146,2023.12.2,0
ST_103,IT_146,2023.12.3,0
ST_103,IT_146,2023.12.4,0
ST_103,IT_146,2023.12.5,0
ST_103,IT_152,2023.12.1,1
ST_103,IT_152,2023.12.2,0
ST_103,IT_152,2023.12.3,1
ST_103,IT_152,2023.12.4,0
ST_103,IT_152,2023.12.5,0
ST_103,IT_153,2023.12.1,0
ST_103,IT_153,2023.12.2,0
ST_103,IT_153,2023.12.3,0
ST_103,IT_153,2023.12.4,0
ST_103,IT_153,2023.12.5,0
ST_103,IT_154,2023.12.1,0
ST_103,IT_154,2023.12.2,0
ST_103,IT_154,2023.12.3,0
ST_103,IT_154,2023.12.4,0
ST_103,IT_154,2023.12.5,0
ST_103,IT_155,2023.12.1,0
ST_103,IT_155,2023.12.2,0
ST_103,IT_155,2023.12.3,1
ST_103,IT_155,2023.12.4,0
ST_103,IT_155,2023.12.5,0
ST_103,IT_156,2023.12.1,0
ST_103,IT_156,2023.12.2,0
ST_103,IT_156,2023.12.3,0
ST_103,IT_156,2023.12.4,0
ST_103,IT_156,2023.12.5,0
ST_103,IT_157,2023.12.1,0
ST_103,IT_157,2023.12.2,0
ST_103,IT_157,2023.12.3,1
ST_103,IT_157,2023.12.4,0
ST_103,IT_157,2023.12.5,0
ST_103,IT_158,2023.12.1,0
ST_103,IT_158,2023.12.2,2
ST_103,IT_158,2023.12.3,2
ST_103,IT_158,2023.12.4,0
ST_103,IT_158,2023.12.5,0
ST_103,IT_159,2023.12.1,0
ST_103,IT_159,2023.12.2,0
ST_103,IT_159,2023.12.3,1
ST_103,IT_159,2023.12.4,0
ST_103,IT_159,2023.12.5,0
ST_103,IT_160,2023.12.1,1
ST_103,IT_160,2023.12.2,0
ST_103,IT_160,2023.12.3,2
ST_103,IT_160,2023.12.4,0
ST_103,IT_160,2023.12.5,0
ST_103,IT_162,2023.12.1,0
ST_103,IT_162,2023.12.2,0
ST_103,IT_162,2023.12.3,1
ST_103,IT_162,2023.12.4,0
ST_103,IT_162,2023.12.5,0
ST_103,IT_163,2023.12.1,0
ST_103,IT_163,2023.12.2,1
ST_103,IT_163,2023.12.3,0
ST_103,IT_163,2023.12.4,0
ST_103,IT_163,2023.12.5,0
ST_103,IT_164,2023.12.1,0
ST_103,IT_164,2023.12.2,0
ST_103,IT_164,2023.12.3,1
ST_103,IT_164,2023.12.4,0
ST_103,IT_164,2023.12.5,0
ST_103,IT_165,2023.12.1,5
ST_103,IT_165,2023.12.2,5
ST_103,IT_165,2023.12.3,10
ST_103,IT_165,2023.12.4,0
ST_103,IT_165,2023.12.5,0
ST_103,IT_167,2023.12.1,1
ST_103,IT_167,2023.12.2,0
ST_103,IT_167,2023.12.3,0
ST_103,IT_167,2023.12.4,0
ST_103,IT_167,2023.12.5,0
ST_103,IT_168,2023.12.1,0
ST_103,IT_168,2023.12.2,0
ST_103,IT_168,2023.12.3,0
ST_103,IT_168,2023.12.4,0
ST_103,IT_168,2023.12.5,0
ST_103,IT_169,2023.12.1,0
ST_103,IT_169,2023.12.2,0
ST_103,IT_169,2023.12.3,1
ST_103,IT_169,2023.12.4,0
ST_103,IT_169,2023.12.5,0
ST_103,IT_170,2023.12.1,0
ST_103,IT_170,2023.12.2,0
ST_103,IT_170,2023.12.3,0
ST_103,IT_170,2023.12.4,0
